New firm,Country,Continent,Moves,Cities
"Apollo Global Management, Inc.",Australia,Oceania,1,"Sydney"
"Apollo Global Management, Inc.",Germany,Europe,1,"Stuttgart"
"Apollo Global Management, Inc.",India,Asia,1,"Mumbai"
"Apollo Global Management, Inc.",UK,Europe,6,"London"
"Apollo Global Management, Inc.",USA,Americas,9,"Washington DC; Ohio; New York; Los Angeles; Detroit; Boston"
Ares Management Corporation,Australia,Oceania,1,"Sydney"
Ares Management Corporation,Spain,Europe,1,"Madrid"
Ares Management Corporation,UK,Europe,2,"London"
Ares Management Corporation,USA,Americas,3,"New York"
Bain Capital,Luxembourg,Europe,1,"Luxembourg, Stockholm, London"
Bain Capital,USA,Americas,3,"Salisbury; New York"
Barings,USA,Americas,3,"Stamford; New York"
Blackstone,Luxembourg,Europe,1,"Luxembourg"
Blackstone,Switzerland,Europe,2,"Geneva; Basel"
Blackstone,UK,Europe,2,"London"
Blackstone,USA,Americas,6,"New York; Los Angeles; Boston"
Blue Owl Capital,Singapore,Asia,4,"Singapore"
Blue Owl Capital,UK,Europe,1,"London"
Blue Owl Capital,USA,Americas,4,"Virginia Beach; New York; Miami"
Brookfield,USA,Americas,3,"New York; New Jersey"
DWS Group,SAR,Asia,1,"Hong Kong"
DWS Group,UK,Europe,2,"London; Cardiff"
DWS Group,USA,Americas,2,"New York"
EQT Group,Sweden,Europe,1,"Stockholm"
EQT Group,UK,Europe,1,"London"
EQT Group,USA,Americas,3,"San Diego; New York"
HarbourVest Partners,Singapore,Asia,1,"Singapore"
HarbourVest Partners,UK,Europe,2,"London"
HarbourVest Partners,USA,Americas,1,"Boston"
ICG,UK,Europe,1,"London"
ICG,USA,Americas,4,"New York; Los Angeles"
IFM Investors,India,Asia,1,"Bengaluru"
IFM Investors,USA,Americas,2,"San Francisco; New York"
KKR,Australia,Oceania,1,"Sydney"
KKR,Germany,Europe,2,"Munich; Frankfurt"
KKR,Japan,Asia,1,"Tokyo"
KKR,SAR,Asia,1,"Hong Kong"
KKR,Switzerland,Europe,1,"Zurich"
KKR,UK,Europe,2,"London"
KKR,USA,Americas,4,"New York; Georgia; Cleveland"
"Oaktree Capital Management, L.P.",SAR,Asia,1,"Hong Kong"
"Oaktree Capital Management, L.P.",UK,Europe,2,"London"
"Oaktree Capital Management, L.P.",USA,Americas,1,"New York"
The Carlyle Group,Canada,Americas,1,"Quebec"
The Carlyle Group,Germany,Europe,1,"Frankfurt"
The Carlyle Group,UK,Europe,2,"London"
The Carlyle Group,USA,Americas,3,"New York"
TPG,Denmark,Europe,1,"Billund"
TPG,Japan,Asia,1,"Tokyo"
TPG,New Zealand,Oceania,1,"Auckland"
TPG,Singapore,Asia,1,"Singapore"
TPG,UK,Europe,3,"London"
TPG,USA,Americas,1,"Boston"
Warburg Pincus LLC,SAR,Asia,1,"Hong Kong"
Warburg Pincus LLC,Sweden,Europe,1,"Stockholm"
Warburg Pincus LLC,UK,Europe,1,"London"
Warburg Pincus LLC,USA,Americas,1,"Houston"
