New firm,Total moves
Apollo Global Management,16
Ares Management Corporation,5
Bain Capital,3
Blackstone,14
Blue Owl Capital,4
Brookfield,6
CVC,8
DWS Group,4
EQT,7
IFM Investors,9
KKR,3
"Oaktree Capital Management, L.P.",4
Partners Group,6
PGIM,3
The Carlyle Group,8
TPG,5
Warburg Pincus LLC,3
