New firm,Total moves
"Apollo Global Management, Inc.",18
Ares Management Corporation,16
Bain Capital,4
Barings,3
Blackstone,11
Blue Owl Capital,9
Brookfield,3
DWS Group,5
EQT Group,5
HarbourVest Partners,4
ICG,5
IFM Investors,3
KKR,12
"Oaktree Capital Management, L.P.",4
The Carlyle Group,7
TPG,9
Warburg Pincus LLC,4
