New firm,Country after move,City after move
TPG,Switzerland,Zurich
EFG International,Switzerland,Zurich
PGIM,USA,Washington DC
KKR,USA,Virginia Beach
"Oaktree Capital Management, L.P.",Japan,Tokyo
"Apollo Global Management, Inc.",Japan,Tokyo
DWS Group,Australia,Sydney
Ares Management Corporation,Australia,Sydney
Partners Group,Australia,Sydney
"Apollo Global Management, Inc.",Australia,Sydney
Future Group,Australia,Sydney
Mason Stevens,Australia,Sydney
Blackstone,Germany,Stuttgart
University of Connecticut Foundation,USA,Storrs Mansfield
Nexon,Sweden,Stockholm
ICG,Sweden,Stockholm
AP-Fonden 3,Sweden,Stockholm
PartnerRe,USA,Stamford
EQT Group,Singapore,Singapore
HarbourVest Partners,Singapore,Singapore
TPG,Singapore,Singapore
TPG,Singapore,Singapore
TPG,Singapore,Singapore
"Apollo Global Management, Inc.",Singapore,Singapore
Farro Capital,Singapore,Singapore
TPG,Singapore,Singapore
Warburg Pincus LLC,South Korea,Seoul
Blackstone,USA,San Francisco
Mercer Advisors,USA,San Diego
TidalHealth,USA,Salisbury
KKR,USA,Raleigh
V Foundation,USA,Raleigh
Public Sector Pension Investment Board,Canada,Quebec
IFM Investors,USA,Philadelphia
Etablissement de Retraite Additionnelle de la Fonction Publique,France,Paris
Marathon Petroleum Corporation,USA,Ohio
"Apollo Global Management, Inc.",USA,New York
EQT Group,USA,New York
EQT Group,USA,New York
"Apollo Global Management, Inc.",USA,New York
Blackstone,USA,New York
Blue Owl Capital,USA,New York
The Carlyle Group,USA,New York
Ares Management Corporation,USA,New York
KKR,USA,New York
KKR,USA,New York
"Apollo Global Management, Inc.",USA,New York
KKR,USA,New York
KKR,USA,New York
"Apollo Global Management, Inc.",USA,New York
"Apollo Global Management, Inc.",USA,New York
Blackstone,USA,New York
Starwood Capital Group,USA,New York
The Carlyle Group,USA,New York
The Carlyle Group,USA,New York
"HPS Investment Partners, LLC",USA,New York
HarbourVest Partners,USA,New York
"Apollo Global Management, Inc.",USA,New York
"Apollo Global Management, Inc.",USA,New York
Ares Management Corporation,USA,New York
Blackstone,USA,New York
Blue Owl Capital,USA,New York
The Carlyle Group,USA,New York
Barings,USA,New York
Blue Owl Capital,USA,New York
Blue Owl Capital,USA,New York
Blue Owl Capital,USA,New York
Truist Financial Corporation,USA,New York
Warburg Pincus LLC,USA,New York
Brookfield,USA,New York
"Apollo Global Management, Inc.",USA,New York
Golub Capital,USA,New York
"Apollo Global Management, Inc.",USA,New York
KKR,USA,New York
Warburg Pincus LLC,USA,New York
"Oaktree Capital Management, L.P.",USA,New York
Brookfield,USA,New York
Blackstone,USA,New York
Blue Owl Capital,USA,New York
Bain Capital,USA,New York
The Carlyle Group,USA,New York
KKR,USA,New York
New York Life Insurance Company,USA,New York
New Jersey Economic Development Authority,USA,New Jersey
The Carlyle Group,Germany,Munich
Bain Capital,India,Mumbai
KKR,India,Mumbai
Blue Owl Capital,USA,Miami
L3Harris Technologies,USA,"Melbourne, Florida"
IFM Investors,Australia,Melbourne
TPG,Australia,Melbourne
CVC Credit,Spain,Madrid
EQT Group,Luxembourg,"Luxembourg, Stockholm, London"
EQT Group,Sweden,Stockholm
EQT Group,UK,London
Partners Group,Luxembourg,Luxembourg
"Apollo Global Management, Inc.",USA,Los Angeles
Ares Management Corporation,USA,Los Angeles
TPG,USA,Los Angeles
Ares Management Corporation,USA,Los Angeles
The Carlyle Group,USA,Los Angeles
"Apollo Global Management, Inc.",UK,London
DWS Group,UK,London
Permira,UK,London
EQT Group,UK,London
Golub Capital,UK,London
ICG,UK,London
Clearlake Capital Group,UK,London
KKR,UK,London
Bain Capital,UK,London
Brookfield,UK,London
HarbourVest Partners,UK,London
"Apollo Global Management, Inc.",UK,London
Barings,UK,London
DWS Group,UK,London
CVC,UK,London
"Oaktree Capital Management, L.P.",UK,London
Rolls-Royce Pension Fund,UK,London
London Pensions Fund Authority,UK,London
"Oaktree Capital Management, L.P.",UK,London
Ares Management Corporation,UK,London
DWS Group,UK,London
London CIV,UK,London
Prudential,UK,London
MUFG,UK,London
Blue Owl Capital,UK,London
Cazenove Capital Management,UK,London
ICG,UK,London
Macquarie Asset Management,UK,London
ICG,UK,London
IFM Investors,UK,London
Nedbank,UK,Isle of Man
Blackstone,USA,Houston
"Apollo Global Management, Inc.",SAR,Hong Kong
"Apollo Global Management, Inc.",SAR,Hong Kong
JPMorgan Chase,SAR,Hong Kong
Bain Capital,SAR,Hong Kong
Ares Management Corporation,SAR,Hong Kong
DWS Group,Germany,Frankfurt
Americana Partners,USA,Georgia
Syz Group,Switzerland,Geneva
Barings,Germany,Frankfurt
Blackstone,Germany,Frankfurt
Warburg Pincus LLC,USA,Detroit
KKR,USA,Denver
University of North Carolina at Chapel Hill,USA,Cleveland
Blue Owl Capital,USA,Chicago
ICG,USA,Chicago
Marsh & McLennan Companies,India,Chennai
Hodge Bank,UK,Cardiff
HarbourVest Partners,USA,Boston
"Apollo Global Management, Inc.",USA,Boston
KKR,USA,Boston
Children's Health,USA,Boston
Blackstone,USA,Boston
Blackstone,Denmark,Billund
Blackstone,India,Bengaluru
TPG,Switzerland,Basel
Fisher Funds,New Zealand,Auckland
Mercer (N.Z.),New Zealand,Auckland
Aprio Wealth Management,USA,Atlanta
