Former firm,New firm,Number of Moves,Names,New job titles,Teams (IMP defined),Seniorities (IMP defined)
BlackRock,Barings,1,"Tim Vincent","Managing Director","Investment team","Managing Director"
KKR,Blue Owl Capital,1,"W. Max Mullen","Managing Director","Investment team","Managing Director"
OCTAVE Capital,"Apollo Global Management, Inc.",1,"Yee Ling Liew","Managing Director - Apollo Portfolio Performance Solutions","Ops","Managing Director"
Natixis Investment Managers,"Oaktree Capital Management, L.P.",1,"James Lindsay","Managing Director - Capital Formation EMEA","Business development","Managing Director"
Permira Credit,"Oaktree Capital Management, L.P.",1,"James Greenwood","Senior Advisor","Strategy","Advisor"
Sundyne,Warburg Pincus LLC,1,"Mary Zappone","Senior Advisor","Investment team","Advisor"
ATLAS SP Partners,"Apollo Global Management, Inc.",1,"Anthony Hermann","Partner, Head of ABF Australia & Australia Country Coordinator, Apollo Global Management, Inc.","Investment team","Partner"
You.com,Blackstone,1,"Adam Oliner","Managing Director, Technology/AI","Tech","Managing Director"
Pure Data Centres Group,Ares Management Corporation,1,"Bill Davis","Partner and Chief Investment Officer, Digital Infrastructure","Investment team","C-level"
A1 Sewer and Drain,KKR,1,"David Coppé","Executive Advisor","Strategy","Advisor"
KKR & Global Atlantic,Brookfield,1,"David J. Schalleur","Managing Director, Head of National Accounts & Business Development","Business development","Managing Director"
UBS,"Apollo Global Management, Inc.",1,"Jamie Sutherland","Managing Director, New Markets","Business development","Managing Director"
Morgan Stanley,Blackstone,1,"Lucio Solms-Lich","Managing Director, Institutional Client Solutions Group","Business development","Managing Director"
PineBridge Investments,ICG,1,"Luke Schlafly","Global Head of Insurance","Investment team","Senior Managing Director"
DWS Infrastructure,DWS Group,1,"Niyamat Fazal","Partner DWS Infrastructure Equity","Investment team","Partner"
Deutsche Bank,DWS Group,1,"Oliver Resovac","Managing Director, Private Credit / Asset Based Lending","Investment team","Managing Director"
SAP,Blackstone,1,"Thomas Bamberger","Senior Advisor","Strategy","Advisor"
Infranode,ICG,1,"Zacharias Karlsen","Managing Director","Investment team","Managing Director"
Electronic Arts (EA),Ares Management Corporation,1,"Noelle Campbell","Managing Director - Corporate Strategy","Strategy","Managing Director"
ResiXperts,"Apollo Global Management, Inc.",1,"Amar Doshi","Managing Director, Portfolio Value Creation & Operations","Portfolio operations","Managing Director"
Arjun Infrastructure Partners,KKR,1,"Chirag Goyanka","Managing Director, Fundraising North America","Business development","Managing Director"
Stockperks,Warburg Pincus LLC,1,"Ken Watson","Senior Advisor, AI","Tech","Advisor"
HPS Investment Partners | BlackRock,"Oaktree Capital Management, L.P.",1,"Kacie Overlander","Managing Director, Sourcing & Origination","Investment team","Managing Director"
Goldman Sachs,Brookfield,1,"Alex Tolstykh","Head of Origination, SouthEast Portfolio Manager","Investment team","Senior Managing Director"
PwC,Blackstone,1,"Dan Crowley","Managing Director","Accounting","Managing Director"
BNY Mellon,Blue Owl Capital,1,"Lauren Buxbaum","Head of Talent Development","Strategy","Senior Managing Director"
Alcyra,Blue Owl Capital,1,"Soraya Kazziha","Managing Director","Business development","Managing Director"
Brookfield Asset Management,EQT Group,1,"Patrick Enriquez","Managing Director","Investment team","Managing Director"
Goldman Sachs,Bain Capital,1,"XINYI F","Managing Director","Investment team","Managing Director"
Brookfield Asset Management,Bain Capital,1,"Michael Horowitz","Partner","Investment team","Partner"
"Apollo Global Management, Inc.",Ares Management Corporation,1,"Daisy Tan","Head of Client Services and Product Management Asia","IR (non-capital raising)","Senior Managing Director"
KKR,The Carlyle Group,1,"RJ Madden","Deputy Head of Asset-Backed Finance","Investment team","Senior Managing Director"
Woolworths Group,TPG,1,"Nicholas Foreman","Senior Advisor - Operations","Ops","Advisor"
Varian,TPG,1,"Kenneth Daniel Tan","Senior Advisor","Strategy","Advisor"
Fox May Consulting Limited,ICG,1,"Owen Lewis","Head of Credit & CLO Operations","Ops","Senior Managing Director"
"Oaktree Capital Management, L.P.",The Carlyle Group,1,"Clark Koury","Managing Director","IR (non-capital raising)","Managing Director"
Grosvenor,ICG,1,"Jonathon Bond","Non Executive Director, Board member","Strategy","Advisor"
Bridgepoint Group,IFM Investors,1,"William Jackson","Board member","Strategy","Advisor"
EY,Blackstone,1,"Pradeep Kaliannan","Managing Director - Head of Legal & Compliance Operations","Legal","Managing Director"
Clarivate,KKR,1,"Jonathan Gear","Executive Advisor","Strategy","Advisor"
